hidden,alpha,r2_val,converged
[10],1e-06,0.9844656038058027,True
[10],1e-05,0.9844034633583499,True
[10],0.0001,0.9844432201892284,True
[10],0.001,0.9844563437665945,True
[20],1e-06,0.9842740004295514,True
[20],1e-05,0.9842855476877825,True
[20],0.0001,0.9842752861699933,True
[20],0.001,0.984273439935246,True
[50],1e-06,0.9843481080697553,True
[50],1e-05,0.9841532801517806,True
[50],0.0001,0.9842269019982577,True
[50],0.001,0.9840782757718513,True
"[20, 20]",1e-06,0.9847729042403124,True
"[20, 20]",1e-05,0.9847389586557541,True
"[20, 20]",0.0001,0.9847756200345094,True
"[20, 20]",0.001,0.9850536617569021,True
