true,KAN_pred
1664.0759,1673.5837
4031.8428,4042.4004
3994.0007,3986.161
3507.9988,3499.14
5624.7373,5617.25
5868.4106,5883.714
2929.6528,2930.1016
3666.755,3666.157
3935.89,3953.0012
3044.704,3047.892
3493.7063,3499.3037
2890.384,2876.7915
3888.157,3887.6367
5550.1455,5561.207
1426.1854,1435.6235
4751.7534,4744.3184
6359.73,6369.036
3894.7515,3900.7632
1700.0353,1679.8853
5975.8765,5969.708
6483.2754,6493.9873
2458.805,2467.0454
4967.5664,4960.9717
5065.6377,5056.073
4268.961,4279.244
3844.4187,3869.5796
4766.6953,4769.802
4176.9893,4184.1543
4102.642,4117.4263
1473.7611,1469.9475
4206.3315,4198.607
4284.7866,4283.0806
3224.4045,3234.8267
3381.0774,3372.9314
1760.728,1753.0005
1679.7452,1678.4929
2954.2683,2967.6936
4675.305,4681.587
3809.1907,3800.4534
2338.5566,2370.3484
4371.694,4381.5513
2884.5242,2872.6523
2413.8792,2399.165
2526.4011,2518.3716

