true,KAN_pred
1426.1854,1428.8984
1664.0759,1672.2439
2413.8792,2422.906
2526.4011,2542.7139
2884.5242,2863.843
3044.704,3053.33
1473.7611,1468.393
1700.0353,1707.7871
1760.728,1767.5109
2458.805,2485.6172
2954.2683,2949.6729
3666.755,3677.3708
3809.1907,3818.5552
1679.7452,1680.7432
2929.6528,2924.9995
3844.4187,3847.3872
3935.89,3930.5796
4102.642,4098.007
4206.3315,4182.598
4268.961,4266.2285
4675.305,4674.185
3493.7063,3493.9844
3888.157,3882.713
3994.0007,3977.578
4176.9893,4173.073
4284.7866,4273.0728
4371.694,4374.0117
4766.6953,4771.786
4967.5664,4966.534
5065.6377,5064.43
2338.5566,2336.774
3224.4045,3241.1172
5868.4106,5887.1064
2890.384,2902.037
3381.0774,3373.4785
3507.9988,3502.1296
4751.7534,4759.2793
5624.7373,5604.832
6359.73,6378.9785
6483.2754,6501.91
3894.7515,3906.4617
4031.8428,4046.9934
5550.1455,5553.873
5975.8765,5968.165
