protocol,protocol_desc,model,r2,are,train_size,val_size,test_size,inner_split_strategy,inner_fold_count,holdout_opening,val_opening,holdout_speed_min,holdout_speed_max,val_speed_min,val_speed_max
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,0.9992511752449642,1.0476987126891304,200,43,44,repeated_random,5,,,,,,
random_interp,随机联合分层切分（规则网格内插值评估）,GRNN,0.994433427677608,2.7929236073139734,200,43,44,repeated_random,5,,,,,,
random_interp,随机联合分层切分（规则网格内插值评估）,KAN,0.9999555349349976,0.2159622609615326,200,43,44,repeated_random,5,,,,,,
leave_opening_20_out,留一开度层外推：test 开度=20.0,MLP,0.9815551179549663,4.302541652829271,209,37,41,protocol_aligned_opening_cv,6,20.0,,,,,
leave_opening_20_out,留一开度层外推：test 开度=20.0,GRNN,0.3823197600405529,23.921181390809924,209,37,41,protocol_aligned_opening_cv,6,20.0,,,,,
leave_opening_20_out,留一开度层外推：test 开度=20.0,KAN,0.9170485734939575,8.273423194885254,209,37,41,protocol_aligned_opening_cv,6,20.0,,,,,
leave_opening_25_out,留一开度层外推：test 开度=25.0,MLP,0.9963863232604323,1.7421219208386336,209,37,41,protocol_aligned_opening_cv,6,25.0,,,,,
leave_opening_25_out,留一开度层外推：test 开度=25.0,GRNN,0.9930007196613108,1.8869472362521986,209,37,41,protocol_aligned_opening_cv,6,25.0,,,,,
leave_opening_25_out,留一开度层外推：test 开度=25.0,KAN,0.9991865158081055,0.7732728123664856,209,37,41,protocol_aligned_opening_cv,6,25.0,,,,,
leave_opening_30_out,留一开度层外推：test 开度=30.0,MLP,0.9962604604812368,1.6925545821152819,209,37,41,protocol_aligned_opening_cv,6,30.0,,,,,
leave_opening_30_out,留一开度层外推：test 开度=30.0,GRNN,0.9934014510752666,1.774840438725533,209,37,41,protocol_aligned_opening_cv,6,30.0,,,,,
leave_opening_30_out,留一开度层外推：test 开度=30.0,KAN,0.9997718334197998,0.44370201230049133,209,37,41,protocol_aligned_opening_cv,6,30.0,,,,,
leave_opening_35_out,留一开度层外推：test 开度=35.0,MLP,0.9994382437547115,0.7101644955832945,209,37,41,protocol_aligned_opening_cv,6,35.0,,,,,
leave_opening_35_out,留一开度层外推：test 开度=35.0,GRNN,0.9928138797106564,1.8126183171023273,209,37,41,protocol_aligned_opening_cv,6,35.0,,,,,
leave_opening_35_out,留一开度层外推：test 开度=35.0,KAN,0.9998679757118225,0.3006914258003235,209,37,41,protocol_aligned_opening_cv,6,35.0,,,,,
leave_opening_40_out,留一开度层外推：test 开度=40.0,MLP,0.9978740498666542,1.295873151704452,209,37,41,protocol_aligned_opening_cv,6,40.0,,,,,
leave_opening_40_out,留一开度层外推：test 开度=40.0,GRNN,0.9928727694969653,1.7410425784180943,209,37,41,protocol_aligned_opening_cv,6,40.0,,,,,
leave_opening_40_out,留一开度层外推：test 开度=40.0,KAN,0.9999430775642395,0.205670565366745,209,37,41,protocol_aligned_opening_cv,6,40.0,,,,,
leave_opening_45_out,留一开度层外推：test 开度=45.0,MLP,0.998308153749833,1.1127048541543891,209,37,41,protocol_aligned_opening_cv,6,45.0,,,,,
leave_opening_45_out,留一开度层外推：test 开度=45.0,GRNN,0.9927357143057662,1.763568314528431,209,37,41,protocol_aligned_opening_cv,6,45.0,,,,,
leave_opening_45_out,留一开度层外推：test 开度=45.0,KAN,0.99981689453125,0.32782673835754395,209,37,41,protocol_aligned_opening_cv,6,45.0,,,,,
leave_opening_50_out,留一开度层外推：test 开度=50.0,MLP,0.9978605342729961,1.0395668807503122,209,37,41,protocol_aligned_opening_cv,6,50.0,,,,,
leave_opening_50_out,留一开度层外推：test 开度=50.0,GRNN,0.8591771572875673,9.355573669483789,209,37,41,protocol_aligned_opening_cv,6,50.0,,,,,
leave_opening_50_out,留一开度层外推：test 开度=50.0,KAN,0.9886049032211304,2.6055548191070557,209,37,41,protocol_aligned_opening_cv,6,50.0,,,,,
leave_speed_20_24_out,"留一速度段外推：test 速度∈[20, 24]",MLP,0.9633971862950018,5.811857013445447,214,38,35,protocol_aligned_speed_block_cv,7,,,20.0,24.0,,
leave_speed_20_24_out,"留一速度段外推：test 速度∈[20, 24]",GRNN,0.4239162107476979,21.74991211606728,214,38,35,protocol_aligned_speed_block_cv,7,,,20.0,24.0,,
leave_speed_20_24_out,"留一速度段外推：test 速度∈[20, 24]",KAN,0.9902870059013367,2.5455806255340576,214,38,35,protocol_aligned_speed_block_cv,7,,,20.0,24.0,,
leave_speed_38_42_out,"留一速度段外推：test 速度∈[38, 42]",MLP,0.9977635373333126,1.215739733929859,214,38,35,protocol_aligned_speed_block_cv,6,,,38.0,42.0,,
leave_speed_38_42_out,"留一速度段外推：test 速度∈[38, 42]",GRNN,0.9896853239795772,2.504846466908589,214,38,35,protocol_aligned_speed_block_cv,6,,,38.0,42.0,,
leave_speed_38_42_out,"留一速度段外推：test 速度∈[38, 42]",KAN,0.9999617338180542,0.15573690831661224,214,38,35,protocol_aligned_speed_block_cv,6,,,38.0,42.0,,
leave_speed_56_60_out,"留一速度段外推：test 速度∈[56, 60]",MLP,0.9945372310337268,1.9308264181922858,214,38,35,protocol_aligned_speed_block_cv,7,,,56.0,60.0,,
leave_speed_56_60_out,"留一速度段外推：test 速度∈[56, 60]",GRNN,0.900889559851559,7.4441369955793055,214,38,35,protocol_aligned_speed_block_cv,7,,,56.0,60.0,,
leave_speed_56_60_out,"留一速度段外推：test 速度∈[56, 60]",KAN,0.99566251039505,1.5036569833755493,214,38,35,protocol_aligned_speed_block_cv,7,,,56.0,60.0,,
