sample_id,source_row_number,true,MLP_pred
5,7,1426.1854,1444.0501621914088
9,11,1664.0759,1712.0965544188566
22,24,2413.8792,2363.9019348132188
24,26,2526.4011,2485.7533888521825
30,32,2884.5242,2853.259295674917
33,35,3044.704,3058.8808980270464
42,44,1473.7611,1395.9619899544148
45,47,1700.0353,1633.810174747237
46,48,1760.728,1710.7183899039878
56,58,2458.805,2518.5936143735025
63,65,2954.2683,2956.995400499778
73,75,3666.755,3653.001797702063
75,77,3809.1907,3812.0658644138593
82,84,1679.7452,1600.3179702180378
97,99,2929.6528,2976.3124794526384
108,110,3844.4187,3859.1185595725324
109,111,3935.89,3938.180361048778
111,113,4102.642,4096.303775503513
112,114,4206.3315,4175.365388482003
113,115,4268.961,4254.427001460494
118,120,4675.305,4663.885655292095
139,141,3493.7063,3486.5303303862997
143,145,3888.157,3911.6539266808595
144,146,3994.0007,4016.5334022996567
146,148,4176.9893,4226.292603589642
147,149,4284.7866,4331.172329260833
148,150,4371.694,4436.051804879629
152,154,4766.6953,4777.422152708153
154,156,4967.5664,4962.112068342307
155,157,5065.6377,5055.601409795508
165,167,2338.5566,2348.6057875705296
173,175,3224.4045,3223.091251834644
197,199,5868.4106,5914.7631168952785
208,210,2890.384,2877.134755051301
212,214,3381.0774,3360.5573518426536
213,215,3507.9988,3482.467077453526
223,225,4751.7534,4724.676876028057
230,232,5624.7373,5632.712738490802
236,238,6359.73,6375.592657103548
237,239,6483.2754,6495.4107610575165
254,256,3894.7515,3938.4202387560385
255,257,4031.8428,4084.123901829508
266,268,5550.1455,5602.785896161234
269,271,5975.8765,5993.520667423109
