Task,Model,DisplayName,ArchitectureNote,R2,ARE(%),n_test,Hyperparams,protocol,fold_id,train_seed,outer_repeat_id,split_seed,replicate_id,is_canonical_replicate,canonical_replicate_rule
forward,MLP,MLP,,0.9995548705667768,0.9805723274433198,44,"hidden=(32, 32), alpha=1e-05",random_interp,1,42,1,1001,random_interp|fold=1|train_seed=42|outer_repeat_id=1,1,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9926360890926458,2.868909768948269,44,sigma=0.1,random_interp,1,42,1,1001,random_interp|fold=1|train_seed=42|outer_repeat_id=1,1,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.999977171421051,0.16110268235206604,44,"hidden=16, lr=0.01, wd=0.0001",random_interp,1,42,1,1001,random_interp|fold=1|train_seed=42|outer_repeat_id=1,1,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9996206819034412,0.9267920279543612,44,"hidden=(32, 32), alpha=0.0001",random_interp,1,52,1,1001,random_interp|fold=1|train_seed=52|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9926360890926458,2.868909768948269,44,sigma=0.1,random_interp,1,52,1,1001,random_interp|fold=1|train_seed=52|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999873042106628,0.14054635167121887,44,"hidden=32, lr=0.01, wd=0.0001",random_interp,1,52,1,1001,random_interp|fold=1|train_seed=52|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9996937715858106,0.7546798689590267,44,"hidden=(32, 32), alpha=0.001",random_interp,1,62,1,1001,random_interp|fold=1|train_seed=62|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9926360890926458,2.868909768948269,44,sigma=0.1,random_interp,1,62,1,1001,random_interp|fold=1|train_seed=62|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.999982476234436,0.14456111192703247,44,"hidden=32, lr=0.01, wd=1e-05",random_interp,1,62,1,1001,random_interp|fold=1|train_seed=62|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9997097678420288,0.7014049946406606,44,"hidden=(32, 32), alpha=1e-06",random_interp,1,72,1,1001,random_interp|fold=1|train_seed=72|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9926360890926458,2.868909768948269,44,sigma=0.1,random_interp,1,72,1,1001,random_interp|fold=1|train_seed=72|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999110698699951,0.23144207894802094,44,"hidden=16, lr=0.01, wd=1e-05",random_interp,1,72,1,1001,random_interp|fold=1|train_seed=72|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9995662086681818,0.952095651352498,44,"hidden=(32, 32), alpha=1e-05",random_interp,1,82,1,1001,random_interp|fold=1|train_seed=82|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9926360890926458,2.868909768948269,44,sigma=0.1,random_interp,1,82,1,1001,random_interp|fold=1|train_seed=82|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999855756759644,0.12942005693912506,44,"hidden=32, lr=0.01, wd=0.0001",random_interp,1,82,1,1001,random_interp|fold=1|train_seed=82|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9994851998120929,0.7317443973896012,44,"hidden=(32, 32), alpha=1e-05",random_interp,1,42,2,1002,random_interp|fold=1|train_seed=42|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9927680733161238,2.155831021545548,44,sigma=0.1,random_interp,1,42,2,1002,random_interp|fold=1|train_seed=42|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999735951423645,0.1538838893175125,44,"hidden=16, lr=0.01, wd=0.0001",random_interp,1,42,2,1002,random_interp|fold=1|train_seed=42|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.99960044628001,0.6640114086290493,44,"hidden=(32, 16), alpha=1e-06",random_interp,1,52,2,1002,random_interp|fold=1|train_seed=52|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9927680733161238,2.155831021545548,44,sigma=0.1,random_interp,1,52,2,1002,random_interp|fold=1|train_seed=52|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999855160713196,0.118402861058712,44,"hidden=32, lr=0.01, wd=0.0001",random_interp,1,52,2,1002,random_interp|fold=1|train_seed=52|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9993239020737978,0.8915001489552307,44,"hidden=(32, 32), alpha=0.001",random_interp,1,62,2,1002,random_interp|fold=1|train_seed=62|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9927680733161238,2.155831021545548,44,sigma=0.1,random_interp,1,62,2,1002,random_interp|fold=1|train_seed=62|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999812245368958,0.14216433465480804,44,"hidden=32, lr=0.01, wd=1e-05",random_interp,1,62,2,1002,random_interp|fold=1|train_seed=62|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9988891163684642,1.0542218171588589,44,"hidden=(32, 16), alpha=0.001",random_interp,1,72,2,1002,random_interp|fold=1|train_seed=72|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9927680733161238,2.155831021545548,44,sigma=0.1,random_interp,1,72,2,1002,random_interp|fold=1|train_seed=72|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999277591705322,0.17698632180690765,44,"hidden=16, lr=0.01, wd=0.0001",random_interp,1,72,2,1002,random_interp|fold=1|train_seed=72|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9995451598499422,0.7753127464684798,44,"hidden=(32, 16), alpha=0.0001",random_interp,1,82,2,1002,random_interp|fold=1|train_seed=82|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9927680733161238,2.155831021545548,44,sigma=0.1,random_interp,1,82,2,1002,random_interp|fold=1|train_seed=82|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
