Task,Model,DisplayName,ArchitectureNote,R2_main,ARE_main(%),n_main,main_ratio,R2_all,ARE_all(%),n_all,Hyperparams,protocol,fold_id,train_seed,outer_repeat_id,split_seed,replicate_id,is_canonical_replicate,canonical_replicate_rule
inverse,inverse_MLP,inverse_MLP,,0.9987576571401648,0.728103645871113,14,0.3181818181818182,0.9979615285990432,1.1800495831763633,44,"hidden=(32, 16), alpha=0.001",random_interp,1,42,1,1001,random_interp|fold=1|train_seed=42|outer_repeat_id=1,1,first_train_seed_first_outer_repeat
inverse,inverse_GRNN,inverse_GRNN,,0.8686905953576901,8.878809033464028,14,0.3181818181818182,0.9225685979263372,6.861639502790282,44,sigma=0.1,random_interp,1,42,1,1001,random_interp|fold=1|train_seed=42|outer_repeat_id=1,1,first_train_seed_first_outer_repeat
inverse,inverse_KAN,inverse_KAN,repaired spline/grid KAN,0.9999354909378061,0.22392594245764527,14,0.3181818181818182,0.9999671883194052,0.14623311150085153,44,"hidden=64, lr=0.005, wd=1e-05",random_interp,1,42,1,1001,random_interp|fold=1|train_seed=42|outer_repeat_id=1,1,first_train_seed_first_outer_repeat
inverse,inverse_MLP,inverse_MLP,,0.9987441322627273,0.6624016824216844,14,0.3181818181818182,0.999146696047991,0.7111998012960199,44,"hidden=(32, 32), alpha=0.001",random_interp,1,52,1,1001,random_interp|fold=1|train_seed=52|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
inverse,inverse_GRNN,inverse_GRNN,,0.8686905953576901,8.878809033464028,14,0.3181818181818182,0.9225685979263372,6.861639502790282,44,sigma=0.1,random_interp,1,52,1,1001,random_interp|fold=1|train_seed=52|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
inverse,inverse_KAN,inverse_KAN,repaired spline/grid KAN,0.9999303283760897,0.23078527667241344,14,0.3181818181818182,0.9999640757120035,0.1510692570969551,44,"hidden=64, lr=0.005, wd=1e-05",random_interp,1,52,1,1001,random_interp|fold=1|train_seed=52|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
inverse,inverse_MLP,inverse_MLP,,0.999201179203016,0.6993945947583275,14,0.3181818181818182,0.9991773566464225,0.7629938101539132,44,"hidden=(32, 16), alpha=0.0001",random_interp,1,62,1,1001,random_interp|fold=1|train_seed=62|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
inverse,inverse_GRNN,inverse_GRNN,,0.8686905953576901,8.878809033464028,14,0.3181818181818182,0.9225685979263372,6.861639502790282,44,sigma=0.1,random_interp,1,62,1,1001,random_interp|fold=1|train_seed=62|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
inverse,inverse_KAN,inverse_KAN,repaired spline/grid KAN,0.9999177255681098,0.24973787976178813,14,0.3181818181818182,0.9999611861307477,0.15747763570661755,44,"hidden=64, lr=0.01, wd=1e-05",random_interp,1,62,1,1001,random_interp|fold=1|train_seed=62|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
inverse,inverse_MLP,inverse_MLP,,0.9993049204372313,0.6774048094236174,14,0.3181818181818182,0.9992345589754815,0.7005929213419515,44,"hidden=(32, 32), alpha=0.0001",random_interp,1,72,1,1001,random_interp|fold=1|train_seed=72|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
inverse,inverse_GRNN,inverse_GRNN,,0.8686905953576901,8.878809033464028,14,0.3181818181818182,0.9225685979263372,6.861639502790282,44,sigma=0.1,random_interp,1,72,1,1001,random_interp|fold=1|train_seed=72|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
inverse,inverse_KAN,inverse_KAN,repaired spline/grid KAN,0.9999333223269194,0.22294518494789733,14,0.3181818181818182,0.999965389800231,0.15113041903017152,44,"hidden=64, lr=0.005, wd=1e-05",random_interp,1,72,1,1001,random_interp|fold=1|train_seed=72|outer_repeat_id=1,0,first_train_seed_first_outer_repeat
