rank,low_opening,mid_opening,high_opening,low_estimated_mass,mid_estimated_mass,high_estimated_mass,low_role_score,mid_role_score,high_role_score,low_fit_score,mid_fit_score,high_fit_score,low_coverage_score,mid_coverage_score,high_coverage_score,low_margin_score,mid_margin_score,high_margin_score,spacing_score,balance_score,mean_role_score,total_score
1,20.0,35.0,50.0,2295.884616758765,3891.760441477705,5541.412770341082,0.8599919799077425,0.8370198529173422,0.6698810898979586,0.9311947780725192,0.8452023696211128,0.7075697651609211,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.47197295435741493,0.5720933405339297,0.08048103658749084,1.0,0.9674013104437041,0.7889643075743478,0.8384633617251313
2,20.0,40.0,50.0,2295.884616758765,4443.983053067835,5541.412770341082,0.8599919799077425,0.912032651756121,0.6698810898979586,0.9311947780725192,0.8759670800160692,0.7075697651609211,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.47197295435741493,0.8702455587404325,0.08048103658749084,0.9287459025971345,0.5108842773326931,0.8139685738539407,0.800876743513295
3,25.0,40.0,50.0,2821.2448611375767,4443.983053067835,5541.412770341082,0.7228358802819336,0.912032651756121,0.6698810898979586,0.82792213724394,0.8759670800160692,0.7075697651609211,0.8755227924172959,0.9999999999999996,0.9999999999999997,0.23108986967387402,0.8702455587404325,0.08048103658749084,0.9287459025971345,0.6762826700762167,0.7682498739786711,0.7831275578811951
4,30.0,40.0,50.0,3348.674301519626,4443.983053067835,5541.412770341082,0.5193889144919365,0.912032651756121,0.6698810898979586,0.586090304874582,0.8759670800160692,0.7075697651609211,0.7544792068488182,0.9999999999999996,0.9999999999999997,0.0,0.8702455587404325,0.08048103658749084,0.9269509464412419,0.9980673334322402,0.7004342187153387,0.7641750393459144
5,25.0,35.0,50.0,2821.2448611375767,3891.760441477705,5541.412770341082,0.7228358802819336,0.8370198529173422,0.6698810898979586,0.82792213724394,0.8452023696211128,0.7075697651609211,0.8755227924172959,0.9999999999999996,0.9999999999999997,0.23108986967387402,0.5720933405339297,0.08048103658749084,0.9059686859743877,0.6489340581707427,0.7432456076990781,0.758222914487541
6,20.0,35.0,45.0,2295.884616758765,3891.760441477705,4995.950213176449,0.8599919799077425,0.8370198529173422,0.4799073159461176,0.9311947780725192,0.8452023696211128,0.5212957697519309,0.9999999999999996,0.9999999999999996,0.7308647702338404,0.47197295435741493,0.5720933405339297,0.0,0.934466882036814,0.6919020606714243,0.7256397162570675,0.7535900255654652
7,25.0,35.0,45.0,2821.2448611375767,3891.760441477705,4995.950213176449,0.7228358802819336,0.8370198529173422,0.4799073159461176,0.82792213724394,0.8452023696211128,0.5212957697519309,0.8755227924172959,0.9999999999999996,0.7308647702338404,0.23108986967387402,0.5720933405339297,0.0,0.9059686859743877,0.9695032573007715,0.6799210163817978,0.7427863909125836
8,20.0,30.0,50.0,2295.884616758765,3348.674301519626,5541.412770341082,0.8599919799077425,0.5455540027492218,0.6698810898979586,0.9311947780725192,0.5709850447222129,0.7075697651609211,0.9999999999999996,0.8510991408029647,0.9999999999999997,0.47197295435741493,0.023658690736130073,0.08048103658749084,0.8909674037692603,0.48012551415979393,0.6918090241849743,0.7005144301200992
9,20.0,30.0,45.0,2295.884616758765,3348.674301519626,4995.950213176449,0.8599919799077425,0.5455540027492218,0.4799073159461176,0.9311947780725192,0.5709850447222129,0.5212957697519309,0.9999999999999996,0.8510991408029647,0.7308647702338404,0.47197295435741493,0.023658690736130073,0.0,0.8909674037692603,0.6391095003034247,0.628484432867694,0.6689193852465021
10,20.0,40.0,45.0,2295.884616758765,4443.983053067835,4995.950213176449,0.8599919799077425,0.912032651756121,0.4799073159461176,0.9311947780725192,0.8759670800160692,0.5212957697519309,0.9999999999999996,0.9999999999999996,0.7308647702338404,0.47197295435741493,0.8702455587404325,0.0,0.46712534775601633,0.2569561761131496,0.7506439825366603,0.6587474066772128
