selected_min_distance,opening,estimated_mass_at_ref_speed,estimated_mass_min,estimated_mass_max,min_distance_to_train,distance_score,order_consistency_score,low_score,mid_score,high_score,low_coverage,mid_coverage,high_coverage,best_role
1,21,2400.9566708944935,1194.2303675333562,3607.6829742556306,1.0,0.2,0.9854023457053831,0.8039626138386076,0.062437489939686584,0.03,0.977382195965624,0.12974995975874634,0.0,low
1,22,2506.028719488826,1247.4395604406777,3764.6178785369743,2.0,0.4,0.9318398164453414,0.775016296083318,0.11243764820000791,0.06,0.9532934962262686,0.20975059280003167,0.0,low
1,23,2611.1007680831576,1300.6487533479992,3921.5527828183167,2.0,0.4,0.8782772871853004,0.7160699783280289,0.13243780646032907,0.06,0.9292047964869131,0.2897512258413163,0.0,low
1,24,2716.1728166774906,1353.857946255321,4078.4876870996604,1.0,0.2,0.8247147579252586,0.6271236605727392,0.1224379647206504,0.03,0.9051160967475577,0.3697518588826016,0.0,low
1,26,2926.7307526493096,1460.9992193393587,4392.462285959261,1.0,0.2,0.71737873700149,0.5089407612024421,0.16245163596650222,0.03,0.856611434000483,0.5298065438660089,0.0,low
1,27,3032.2166400267965,1514.9312995160747,4549.501980537518,2.0,0.4,0.6636052453377627,0.4797041795874346,0.21246514895203275,0.06,0.8321954709927639,0.609860595808131,0.0,low
1,28,3137.7025274042826,1568.8633796927907,4706.541675115775,2.0,0.4,0.6098317536740357,0.4204675979724275,0.23247866193756336,0.06,0.8077795079850448,0.6899146477502535,0.0,low
1,29,3243.1884147817696,1622.7954598695069,4863.581369694032,1.0,0.2,0.5560582620103084,0.3312310163574198,0.2224921749230939,0.03,0.7833635449773255,0.7699686996923756,0.0,low
1,31,3457.2915315564455,1731.267785261596,5183.315277851296,1.0,0.2,0.10616996815934554,0.25825557468797233,0.3269418071689211,0.03,0.7342562923837582,0.9329593050932549,0.0,mid
1,32,3565.9087609536355,1785.8080304769692,5346.009491430302,2.0,0.4,0.2169094770118538,0.2765457768488848,0.4401456862071123,0.06267046514901907,0.7095650027979099,1.0,0.010681860596076282,mid
1,33,3674.525990350825,1840.3482756923422,5508.703705009308,2.0,0.4,0.32764898586436164,0.2648359790097974,0.506589391518617,0.07660360219013457,0.6848737132120617,1.0,0.06641440876053825,mid
1,34,3783.143219748014,1894.8885209077152,5671.397918588313,1.0,0.2,0.4383884947168689,0.22312618117070995,0.5430330968301214,0.06053673923124997,0.6601824236262135,1.0,0.1221469569249999,mid
1,36,4002.2049711151362,2006.3851264934515,5998.0248157368205,1.0,0.2,0.661730508588869,0.19933998165620595,0.6770383051533214,0.08850907591840888,0.6097060283425975,1.0,0.23403630367363554,mid
1,37,4112.649493085068,2063.3414868638138,6161.957499306322,2.0,0.4,0.7743330136083597,0.21726357998078957,0.7745998081650158,0.13254827556445223,0.5839209226448301,1.0,0.2901931022578089,mid
1,38,4223.094015055,2120.297847234177,6325.890182875823,2.0,0.4,0.8869355186278518,0.20518717830537303,0.842161311176711,0.14658747521049556,0.5581358169470624,1.0,0.34634990084198225,mid
1,39,4333.538537024931,2177.2542076045393,6489.822866445324,1.0,0.2,0.9995380236473422,0.16311077662995666,0.8797228141884053,0.1306266748565389,0.532350711249295,1.0,0.40250669942615563,mid
1,41,4554.376493416202,2292.0390244578484,6816.713962374555,1.0,0.2,0.7753090520653659,0.15009642180590252,0.7451854312392195,0.16985618493146473,0.4803856872236101,1.0,0.5144865501389322,mid
1,42,4664.769927837539,2349.8674809407944,6979.672374734286,2.0,0.4,0.6627586327975663,0.1735514422239232,0.7076551796785397,0.21943946892700547,0.4542057688956929,1.0,0.5703096022675352,mid
