rank,selected_min_distance,low_mid_mass_threshold,mid_high_mass_threshold,low_opening,mid_opening,high_opening,low_estimated_mass,mid_estimated_mass,high_estimated_mass,low_role_score,mid_role_score,high_role_score,spacing_score,balance_score,min_distance_bonus,total_score
1,1,3353.1562693889473,5314.827050173339,21,39,49,2400.9566708944935,4333.538537024931,5432.320230462541,0.8039626138386076,0.8797228141884053,0.3659096107974703,1.0,0.7142857142857143,0.5,2.173166467395912
2,1,3353.1562693889473,5314.827050173339,22,39,49,2506.028719488826,4333.538537024931,5432.320230462541,0.775016296083318,0.8797228141884053,0.3659096107974703,0.9642857142857143,0.7407407407407407,0.5,2.1424212078416804
3,1,3353.1562693889473,5314.827050173339,21,39,48,2400.9566708944935,4333.538537024931,5323.227730622294,0.8039626138386076,0.8797228141884053,0.33917091854449977,0.9642857142857143,0.6666666666666667,0.5,2.1416658703810367
4,1,3353.1562693889473,5314.827050173339,21,38,49,2400.9566708944935,4223.094015055,5432.320230462541,0.8039626138386076,0.842161311176711,0.3659096107974703,1.0,0.7857142857142857,0.5,2.1384621072413608
5,1,3353.1562693889473,5314.827050173339,21,39,47,2400.9566708944935,4333.538537024931,5214.135230782047,0.8039626138386076,0.8797228141884053,0.31692522730577444,0.9285714285714286,0.6153846153846154,0.5,2.1145117542338863
6,1,3353.1562693889473,5314.827050173339,22,39,48,2506.028719488826,4333.538537024931,5323.227730622294,0.775016296083318,0.8797228141884053,0.33917091854449977,0.9285714285714286,0.6923076923076923,0.5,2.1108880507942454
7,1,3353.1562693889473,5314.827050173339,22,38,49,2506.028719488826,4223.094015055,5432.320230462541,0.775016296083318,0.842161311176711,0.3659096107974703,0.9642857142857143,0.8148148148148149,0.5,2.107822667792949
8,1,3353.1562693889473,5314.827050173339,21,38,48,2400.9566708944935,4223.094015055,5323.227730622294,0.8039626138386076,0.842161311176711,0.33917091854449977,0.9642857142857143,0.7407407407407407,0.5,2.1070673303323053
9,2,3353.1562693889473,5314.827050173339,22,38,48,2506.028719488826,4223.094015055,5323.227730622294,0.775016296083318,0.842161311176711,0.33917091854449977,1.0,0.7692307692307692,1.0,2.097117756573759
10,1,3353.1562693889473,5314.827050173339,22,39,47,2506.028719488826,4333.538537024931,5214.135230782047,0.775016296083318,0.8797228141884053,0.31692522730577444,0.8928571428571429,0.64,0.5,2.083692909006069
11,1,3353.1562693889473,5314.827050173339,23,39,49,2611.1007680831576,4333.538537024931,5432.320230462541,0.7160699783280289,0.8797228141884053,0.3659096107974703,0.9285714285714286,0.7692307692307692,0.5,2.0817573483688494
12,1,3353.1562693889473,5314.827050173339,21,38,47,2400.9566708944935,4223.094015055,5214.135230782047,0.8039626138386076,0.842161311176711,0.31692522730577444,0.9285714285714286,0.6923076923076923,0.5,2.080027174299115
13,1,3353.1562693889473,5314.827050173339,22,38,48,2506.028719488826,4223.094015055,5323.227730622294,0.775016296083318,0.842161311176711,0.33917091854449977,0.9285714285714286,0.7692307692307692,0.5,2.0764034708594736
14,1,3353.1562693889473,5314.827050173339,21,37,49,2400.9566708944935,4112.649493085068,5432.320230462541,0.8039626138386076,0.7745998081650158,0.3659096107974703,1.0,0.8571428571428572,0.5,2.073757747086808
15,2,3353.1562693889473,5314.827050173339,22,38,47,2506.028719488826,4223.094015055,5214.135230782047,0.775016296083318,0.842161311176711,0.31692522730577444,0.9615384615384616,0.72,1.0,2.06982591148888
16,1,3353.1562693889473,5314.827050173339,21,39,46,2400.9566708944935,4333.538537024931,5105.042730941801,0.8039626138386076,0.8797228141884053,0.26755727410970115,0.8928571428571429,0.56,0.5,2.0600712735652857
17,1,3353.1562693889473,5314.827050173339,23,39,48,2611.1007680831576,4333.538537024931,5323.227730622294,0.7160699783280289,0.8797228141884053,0.33917091854449977,0.8928571428571429,0.72,0.5,2.0501922824895056
18,1,3353.1562693889473,5314.827050173339,22,38,47,2506.028719488826,4223.094015055,5214.135230782047,0.775016296083318,0.842161311176711,0.31692522730577444,0.8928571428571429,0.72,0.5,2.049331405994375
19,1,3353.1562693889473,5314.827050173339,23,38,49,2611.1007680831576,4223.094015055,5432.320230462541,0.7160699783280289,0.842161311176711,0.3659096107974703,0.9285714285714286,0.8461538461538461,0.5,2.047272768434078
20,1,3353.1562693889473,5314.827050173339,22,37,49,2506.028719488826,4112.649493085068,5432.320230462541,0.775016296083318,0.7745998081650158,0.3659096107974703,0.9642857142857143,0.8888888888888888,0.5,2.043224127744217
21,1,3353.1562693889473,5314.827050173339,21,37,48,2400.9566708944935,4112.649493085068,5323.227730622294,0.8039626138386076,0.7745998081650158,0.33917091854449977,0.9642857142857143,0.8148148148148149,0.5,2.042468790283573
22,2,3353.1562693889473,5314.827050173339,23,38,48,2611.1007680831576,4223.094015055,5323.227730622294,0.7160699783280289,0.842161311176711,0.33917091854449977,0.9615384615384616,0.8,1.0,2.036325284972316
23,1,3353.1562693889473,5314.827050173339,21,41,49,2400.9566708944935,4554.376493416202,5432.320230462541,0.8039626138386076,0.7451854312392195,0.3659096107974703,1.0,0.5714285714285714,0.5,2.03291479873244
24,2,3353.1562693889473,5314.827050173339,22,37,48,2506.028719488826,4112.649493085068,5323.227730622294,0.775016296083318,0.7745998081650158,0.33917091854449977,1.0,0.8461538461538461,1.0,2.032633176638987
25,1,3353.1562693889473,5314.827050173339,22,39,46,2506.028719488826,4333.538537024931,5105.042730941801,0.775016296083318,0.8797228141884053,0.26755727410970115,0.8571428571428571,0.5833333333333333,0.5,2.0292011462861863
26,1,3353.1562693889473,5314.827050173339,21,38,46,2400.9566708944935,4223.094015055,5105.042730941801,0.8039626138386076,0.842161311176711,0.26755727410970115,0.8928571428571429,0.64,0.5,2.025709770553591
27,1,3353.1562693889473,5314.827050173339,23,39,47,2611.1007680831576,4333.538537024931,5214.135230782047,0.7160699783280289,0.8797228141884053,0.31692522730577444,0.8571428571428571,0.6666666666666667,0.5,2.022956115060304
28,1,3353.1562693889473,5314.827050173339,23,38,48,2611.1007680831576,4223.094015055,5323.227730622294,0.7160699783280289,0.842161311176711,0.33917091854449977,0.8928571428571429,0.8,0.5,2.015830779477811
29,1,3353.1562693889473,5314.827050173339,21,37,47,2400.9566708944935,4112.649493085068,5214.135230782047,0.8039626138386076,0.7745998081650158,0.31692522730577444,0.9285714285714286,0.7692307692307692,0.5,2.015542594364343
30,1,3353.1562693889473,5314.827050173339,21,39,43,2400.9566708944935,4333.538537024931,4775.163362258878,0.8039626138386076,0.8797228141884053,0.2390227529225463,0.7857142857142857,0.36363636363636365,0.5,2.015110778352157
31,1,3353.1562693889473,5314.827050173339,22,37,48,2506.028719488826,4112.649493085068,5323.227730622294,0.775016296083318,0.7745998081650158,0.33917091854449977,0.9285714285714286,0.8461538461538461,0.5,2.0119188909247017
32,1,3353.1562693889473,5314.827050173339,21,39,44,2400.9566708944935,4333.538537024931,4885.556796680216,0.8039626138386076,0.8797228141884053,0.22860603691808704,0.8214285714285714,0.4347826086956522,0.5,2.0103970550072114
33,2,3353.1562693889473,5314.827050173339,23,38,47,2611.1007680831576,4223.094015055,5214.135230782047,0.7160699783280289,0.842161311176711,0.31692522730577444,0.9230769230769231,0.75,1.0,2.009002670656668
34,2,3353.1562693889473,5314.827050173339,22,37,47,2506.028719488826,4112.649493085068,5214.135230782047,0.775016296083318,0.7745998081650158,0.31692522730577444,0.9615384615384616,0.8,1.0,2.0054644084771853
35,1,3353.1562693889473,5314.827050173339,22,41,49,2506.028719488826,4554.376493416202,5432.320230462541,0.775016296083318,0.7451854312392195,0.3659096107974703,0.9642857142857143,0.5925925925925926,0.5,2.0019578989665687
36,1,3353.1562693889473,5314.827050173339,21,41,48,2400.9566708944935,4554.376493416202,5323.227730622294,0.8039626138386076,0.7451854312392195,0.33917091854449977,0.9642857142857143,0.5185185185185186,0.5,2.0012025615059246
37,1,3353.1562693889473,5314.827050173339,22,38,46,2506.028719488826,4223.094015055,5105.042730941801,0.775016296083318,0.842161311176711,0.26755727410970115,0.8571428571428571,0.6666666666666667,0.5,1.9949729766078252
38,1,3353.1562693889473,5314.827050173339,21,42,49,2400.9566708944935,4664.769927837539,5432.320230462541,0.8039626138386076,0.7076551796785397,0.3659096107974703,1.0,0.5,0.5,1.9925274043146175
39,1,3353.1562693889473,5314.827050173339,24,39,49,2716.1728166774906,4333.538537024931,5432.320230462541,0.6271236605727392,0.8797228141884053,0.3659096107974703,0.8928571428571429,0.8,0.5,1.991184656987186
40,1,3353.1562693889473,5314.827050173339,21,39,42,2400.9566708944935,4333.538537024931,4664.769927837539,0.8039626138386076,0.8797228141884053,0.21943946892700547,0.75,0.2857142857142857,0.5,1.9895534683825895
41,1,3353.1562693889473,5314.827050173339,23,38,47,2611.1007680831576,4223.094015055,5214.135230782047,0.7160699783280289,0.842161311176711,0.31692522730577444,0.8571428571428571,0.75,0.5,1.9887279453819429
42,1,3353.1562693889473,5314.827050173339,22,37,47,2506.028719488826,4112.649493085068,5214.135230782047,0.775016296083318,0.7745998081650158,0.31692522730577444,0.8928571428571429,0.8,0.5,1.9849699029826797
43,1,3353.1562693889473,5314.827050173339,22,39,43,2506.028719488826,4333.538537024931,4775.163362258878,0.775016296083318,0.8797228141884053,0.2390227529225463,0.75,0.38095238095238093,0.5,1.9839999584323649
44,1,3353.1562693889473,5314.827050173339,23,37,49,2611.1007680831576,4112.649493085068,5432.320230462541,0.7160699783280289,0.7745998081650158,0.3659096107974703,0.9285714285714286,0.9230769230769231,0.5,1.9827881884993062
45,1,3353.1562693889473,5314.827050173339,21,38,43,2400.9566708944935,4223.094015055,4775.163362258878,0.8039626138386076,0.842161311176711,0.2390227529225463,0.7857142857142857,0.4545454545454546,0.5,1.9811856389768259
46,1,3353.1562693889473,5314.827050173339,22,39,44,2506.028719488826,4333.538537024931,4885.556796680216,0.775016296083318,0.8797228141884053,0.22860603691808704,0.7857142857142857,0.4545454545454546,0.5,1.9793841082287713
47,1,3353.1562693889473,5314.827050173339,21,36,49,2400.9566708944935,4002.2049711151362,5432.320230462541,0.8039626138386076,0.6770383051533214,0.3659096107974703,1.0,0.9285714285714286,0.5,1.9790533869322564
