opening,selected_min_distance,estimated_mass_ref,estimated_mass_min,estimated_mass_max,min_distance_to_train,distance_score,low_score,mid_score,high_score,low_coverage,mid_coverage,high_coverage,best_role,is_training_opening,best_role_order_score
20,1,2295.884622300161,1141.0211746260345,3450.7480699742873,0.0,0.0,0.8286447201711097,0.012437331679365317,0.0,1.0,0.04974932671746127,0.0,low,True,1.0
21,1,2400.9566708944935,1194.2303675333562,3607.6829742556306,1.0,0.2,0.8039626138386076,0.062437489939686584,0.03,0.977382195965624,0.12974995975874634,0.0,low,False,0.9854023457053831
22,1,2506.028719488826,1247.4395604406777,3764.6178785369743,2.0,0.4,0.775016296083318,0.11243764820000791,0.06,0.9532934962262686,0.20975059280003167,0.0,low,False,0.9318398164453414
23,1,2611.1007680831576,1300.6487533479992,3921.5527828183167,2.0,0.4,0.7160699783280289,0.13243780646032907,0.06,0.9292047964869131,0.2897512258413163,0.0,low,False,0.8782772871853004
24,1,2716.1728166774906,1353.857946255321,4078.4876870996604,1.0,0.2,0.6271236605727392,0.1224379647206504,0.03,0.9051160967475577,0.3697518588826016,0.0,low,False,0.8247147579252586
25,1,2821.244865271823,1407.0671391626427,4235.422591381003,0.0,0.0,0.5381773428174496,0.11243812298097161,0.0,0.8810273970082022,0.44975249192388644,0.0,low,True,0.771152228665217
26,1,2926.7307526493096,1460.9992193393587,4392.462285959261,1.0,0.2,0.5089407612024421,0.16245163596650222,0.03,0.856611434000483,0.5298065438660089,0.0,low,False,0.71737873700149
27,1,3032.2166400267965,1514.9312995160747,4549.501980537518,2.0,0.4,0.4797041795874346,0.21246514895203275,0.06,0.8321954709927639,0.609860595808131,0.0,low,False,0.6636052453377627
28,1,3137.7025274042826,1568.8633796927907,4706.541675115775,2.0,0.4,0.4204675979724275,0.23247866193756336,0.06,0.8077795079850448,0.6899146477502535,0.0,low,False,0.6098317536740357
29,1,3243.1884147817696,1622.7954598695069,4863.581369694032,1.0,0.2,0.3312310163574198,0.2224921749230939,0.03,0.7833635449773255,0.7699686996923756,0.0,low,False,0.5560582620103084
30,1,3348.674302159256,1676.7275400462227,5020.62106427229,0.0,0.0,0.24199443474241253,0.2125056879086245,0.0,0.7589475819696065,0.850022751634498,0.0,low,True,0.5022847703465814
31,1,3457.2915315564455,1731.267785261596,5183.315277851296,1.0,0.2,0.25825557468797233,0.3269418071689211,0.03,0.7342562923837582,0.9329593050932549,0.0,mid,False,0.10616996815934554
32,1,3565.9087609536355,1785.8080304769692,5346.009491430302,2.0,0.4,0.2765457768488848,0.4401456862071123,0.06267046514901907,0.7095650027979099,1.0,0.010681860596076282,mid,False,0.2169094770118538
33,1,3674.525990350825,1840.3482756923422,5508.703705009308,2.0,0.4,0.2648359790097974,0.506589391518617,0.07660360219013457,0.6848737132120617,1.0,0.06641440876053825,mid,False,0.32764898586436164
34,1,3783.143219748014,1894.8885209077152,5671.397918588313,1.0,0.2,0.22312618117070995,0.5430330968301214,0.06053673923124997,0.6601824236262135,1.0,0.1221469569249999,mid,False,0.4383884947168689
35,1,3891.760449145204,1949.4287661230883,5834.092132167319,0.0,0.0,0.1814163833316225,0.5794768021416262,0.04446987627236547,0.6354911340403653,1.0,0.17787950508946188,mid,True,0.5491280035693771
36,1,4002.2049711151362,2006.3851264934515,5998.0248157368205,1.0,0.2,0.19933998165620595,0.6770383051533214,0.08850907591840888,0.6097060283425975,1.0,0.23403630367363554,mid,False,0.661730508588869
37,1,4112.649493085068,2063.3414868638138,6161.957499306322,2.0,0.4,0.21726357998078957,0.7745998081650158,0.13254827556445223,0.5839209226448301,1.0,0.2901931022578089,mid,False,0.7743330136083597
38,1,4223.094015055,2120.297847234177,6325.890182875823,2.0,0.4,0.20518717830537303,0.842161311176711,0.14658747521049556,0.5581358169470624,1.0,0.34634990084198225,mid,False,0.8869355186278518
39,1,4333.538537024931,2177.2542076045393,6489.822866445324,1.0,0.2,0.16311077662995666,0.8797228141884053,0.1306266748565389,0.532350711249295,1.0,0.40250669942615563,mid,False,0.9995380236473422
40,1,4443.983058994864,2234.210567974903,6653.755550014825,0.0,0.0,0.12664140138788174,0.7827156827998993,0.12027290093592395,0.506565605551527,1.0,0.458663498010329,mid,True,0.8878594713331656
41,1,4554.376493416202,2292.0390244578484,6816.713962374555,1.0,0.2,0.15009642180590252,0.7451854312392195,0.16985618493146473,0.4803856872236101,1.0,0.5144865501389322,mid,False,0.7753090520653659
42,1,4664.769927837539,2349.8674809407944,6979.672374734286,2.0,0.4,0.1735514422239232,0.7076551796785397,0.21943946892700547,0.4542057688956929,1.0,0.5703096022675352,mid,False,0.6627586327975663
43,1,4775.163362258878,2407.6959374237404,7142.630787094016,2.0,0.4,0.16700646264194394,0.6401249281178594,0.2390227529225463,0.42802585056777576,1.0,0.6261326543961384,mid,False,0.5502082135297657
44,1,4885.556796680216,2465.5243939066863,7305.589199453746,1.0,0.2,0.13046148305996466,0.5425946765571791,0.22860603691808704,0.40184593223985865,1.0,0.6819557065247412,mid,False,0.43765779426196505
45,1,4995.950231101554,2523.3528503896323,7468.547611813477,0.0,0.0,0.09391650347798537,0.44506442499649923,0.21818932091362778,0.3756660139119415,1.0,0.7377787586533443,mid,True,0.3251073749941654
46,1,5105.042730941801,2580.319431508206,7629.766030375396,1.0,0.2,0.11746907027723608,0.40832998561419354,0.26755727410970115,0.3498762811089443,1.0,0.7930057583102026,mid,False,0.21388330935698918
47,1,5214.135230782047,2637.2860126267797,7790.984448937315,2.0,0.4,0.1410216370764868,0.3715955462318883,0.31692522730577444,0.32408654830594713,1.0,0.8482327579670605,mid,False,0.10265924371981383
48,1,5323.227730622294,2694.252593745354,7952.202867499234,2.0,0.4,0.13457420387573743,0.31,0.33917091854449977,0.29829681550294973,1.0,0.9034597576239185,high,False,0.504282410958681
49,1,5432.320230462541,2751.2191748639275,8113.421286061154,1.0,0.2,0.09812677067498814,0.28,0.3659096107974703,0.27250708269995255,1.0,0.9586867572807768,high,False,0.5598944437772692
50,1,5541.412730302787,2808.1857559825016,8274.639704623072,0.0,0.0,0.061679337474238795,0.25,0.38916986381603175,0.24671734989695518,1.0,1.0,high,True,0.6155064765958569
20,2,2295.884622300161,1141.0211746260345,3450.7480699742873,0.0,0.0,0.8286447201711097,0.012437331679365317,0.0,1.0,0.04974932671746127,0.0,low,True,1.0
22,2,2506.028719488826,1247.4395604406777,3764.6178785369743,2.0,0.4,0.775016296083318,0.11243764820000791,0.06,0.9532934962262686,0.20975059280003167,0.0,low,False,0.9318398164453414
23,2,2611.1007680831576,1300.6487533479992,3921.5527828183167,2.0,0.4,0.7160699783280289,0.13243780646032907,0.06,0.9292047964869131,0.2897512258413163,0.0,low,False,0.8782772871853004
25,2,2821.244865271823,1407.0671391626427,4235.422591381003,0.0,0.0,0.5381773428174496,0.11243812298097161,0.0,0.8810273970082022,0.44975249192388644,0.0,low,True,0.771152228665217
27,2,3032.2166400267965,1514.9312995160747,4549.501980537518,2.0,0.4,0.4797041795874346,0.21246514895203275,0.06,0.8321954709927639,0.609860595808131,0.0,low,False,0.6636052453377627
28,2,3137.7025274042826,1568.8633796927907,4706.541675115775,2.0,0.4,0.4204675979724275,0.23247866193756336,0.06,0.8077795079850448,0.6899146477502535,0.0,low,False,0.6098317536740357
30,2,3348.674302159256,1676.7275400462227,5020.62106427229,0.0,0.0,0.24199443474241253,0.2125056879086245,0.0,0.7589475819696065,0.850022751634498,0.0,low,True,0.5022847703465814
32,2,3565.9087609536355,1785.8080304769692,5346.009491430302,2.0,0.4,0.2765457768488848,0.4401456862071123,0.06267046514901907,0.7095650027979099,1.0,0.010681860596076282,mid,False,0.2169094770118538
33,2,3674.525990350825,1840.3482756923422,5508.703705009308,2.0,0.4,0.2648359790097974,0.506589391518617,0.07660360219013457,0.6848737132120617,1.0,0.06641440876053825,mid,False,0.32764898586436164
35,2,3891.760449145204,1949.4287661230883,5834.092132167319,0.0,0.0,0.1814163833316225,0.5794768021416262,0.04446987627236547,0.6354911340403653,1.0,0.17787950508946188,mid,True,0.5491280035693771
37,2,4112.649493085068,2063.3414868638138,6161.957499306322,2.0,0.4,0.21726357998078957,0.7745998081650158,0.13254827556445223,0.5839209226448301,1.0,0.2901931022578089,mid,False,0.7743330136083597
38,2,4223.094015055,2120.297847234177,6325.890182875823,2.0,0.4,0.20518717830537303,0.842161311176711,0.14658747521049556,0.5581358169470624,1.0,0.34634990084198225,mid,False,0.8869355186278518
40,2,4443.983058994864,2234.210567974903,6653.755550014825,0.0,0.0,0.12664140138788174,0.7827156827998993,0.12027290093592395,0.506565605551527,1.0,0.458663498010329,mid,True,0.8878594713331656
42,2,4664.769927837539,2349.8674809407944,6979.672374734286,2.0,0.4,0.1735514422239232,0.7076551796785397,0.21943946892700547,0.4542057688956929,1.0,0.5703096022675352,mid,False,0.6627586327975663
43,2,4775.163362258878,2407.6959374237404,7142.630787094016,2.0,0.4,0.16700646264194394,0.6401249281178594,0.2390227529225463,0.42802585056777576,1.0,0.6261326543961384,mid,False,0.5502082135297657
45,2,4995.950231101554,2523.3528503896323,7468.547611813477,0.0,0.0,0.09391650347798537,0.44506442499649923,0.21818932091362778,0.3756660139119415,1.0,0.7377787586533443,mid,True,0.3251073749941654
47,2,5214.135230782047,2637.2860126267797,7790.984448937315,2.0,0.4,0.1410216370764868,0.3715955462318883,0.31692522730577444,0.32408654830594713,1.0,0.8482327579670605,mid,False,0.10265924371981383
48,2,5323.227730622294,2694.252593745354,7952.202867499234,2.0,0.4,0.13457420387573743,0.31,0.33917091854449977,0.29829681550294973,1.0,0.9034597576239185,high,False,0.504282410958681
50,2,5541.412730302787,2808.1857559825016,8274.639704623072,0.0,0.0,0.061679337474238795,0.25,0.38916986381603175,0.24671734989695518,1.0,1.0,high,True,0.6155064765958569
20,3,2295.884622300161,1141.0211746260345,3450.7480699742873,0.0,0.0,0.8286447201711097,0.012437331679365317,0.0,1.0,0.04974932671746127,0.0,low,True,1.0
25,3,2821.244865271823,1407.0671391626427,4235.422591381003,0.0,0.0,0.5381773428174496,0.11243812298097161,0.0,0.8810273970082022,0.44975249192388644,0.0,low,True,0.771152228665217
30,3,3348.674302159256,1676.7275400462227,5020.62106427229,0.0,0.0,0.24199443474241253,0.2125056879086245,0.0,0.7589475819696065,0.850022751634498,0.0,low,True,0.5022847703465814
35,3,3891.760449145204,1949.4287661230883,5834.092132167319,0.0,0.0,0.1814163833316225,0.5794768021416262,0.04446987627236547,0.6354911340403653,1.0,0.17787950508946188,mid,True,0.5491280035693771
40,3,4443.983058994864,2234.210567974903,6653.755550014825,0.0,0.0,0.12664140138788174,0.7827156827998993,0.12027290093592395,0.506565605551527,1.0,0.458663498010329,mid,True,0.8878594713331656
45,3,4995.950231101554,2523.3528503896323,7468.547611813477,0.0,0.0,0.09391650347798537,0.44506442499649923,0.21818932091362778,0.3756660139119415,1.0,0.7377787586533443,mid,True,0.3251073749941654
50,3,5541.412730302787,2808.1857559825016,8274.639704623072,0.0,0.0,0.061679337474238795,0.25,0.38916986381603175,0.24671734989695518,1.0,1.0,high,True,0.6155064765958569
20,4,2295.884622300161,1141.0211746260345,3450.7480699742873,0.0,0.0,0.8286447201711097,0.012437331679365317,0.0,1.0,0.04974932671746127,0.0,low,True,1.0
25,4,2821.244865271823,1407.0671391626427,4235.422591381003,0.0,0.0,0.5381773428174496,0.11243812298097161,0.0,0.8810273970082022,0.44975249192388644,0.0,low,True,0.771152228665217
30,4,3348.674302159256,1676.7275400462227,5020.62106427229,0.0,0.0,0.24199443474241253,0.2125056879086245,0.0,0.7589475819696065,0.850022751634498,0.0,low,True,0.5022847703465814
