rank,low_opening,mid_opening,high_opening,selected_min_distance,low_estimated_mass,mid_estimated_mass,high_estimated_mass,low_role_score,mid_role_score,high_role_score,spacing_score,balance_score,distance_bonus,total_score
1,20,39,50,1,2295.884622300161,4333.538537024931,5541.412730302787,0.8286447201711097,0.8797228141884053,0.38916986381603175,1.0,0.7333333333333334,0.03333333333333333,2.20787073150888
2,21,39,50,1,2400.9566708944935,4333.538537024931,5541.412730302787,0.8039626138386076,0.8797228141884053,0.38916986381603175,0.9666666666666667,0.7586206896551724,0.03333333333333333,2.1815334527625847
3,20,39,49,1,2295.884622300161,4333.538537024931,5432.320230462541,0.8286447201711097,0.8797228141884053,0.3659096107974703,0.9666666666666667,0.6896551724137931,0.03333333333333333,2.18019668538687
4,20,38,50,2,2295.884622300161,4223.094015055,5541.412730302787,0.8286447201711097,0.842161311176711,0.38916986381603175,1.0,0.8,0.06666666666666667,2.1739758951638524
5,20,38,50,1,2295.884622300161,4223.094015055,5541.412730302787,0.8286447201711097,0.842161311176711,0.38916986381603175,1.0,0.8,0.03333333333333333,2.1729758951638525
6,21,39,49,1,2400.9566708944935,4333.538537024931,5432.320230462541,0.8039626138386076,0.8797228141884053,0.3659096107974703,0.9333333333333333,0.7142857142857143,0.03333333333333333,2.1538331340625785
7,22,39,50,1,2506.028719488826,4333.538537024931,5541.412730302787,0.775016296083318,0.8797228141884053,0.38916986381603175,0.9333333333333333,0.7857142857142857,0.03333333333333333,2.1510042121829933
8,20,39,48,1,2295.884622300161,4333.538537024931,5323.227730622294,0.8286447201711097,0.8797228141884053,0.33917091854449977,0.9333333333333333,0.6428571428571428,0.03333333333333333,2.148919405284967
9,21,38,50,1,2400.9566708944935,4223.094015055,5541.412730302787,0.8039626138386076,0.842161311176711,0.38916986381603175,0.9666666666666667,0.8275862068965517,0.03333333333333333,2.1467305704405453
10,20,38,49,1,2295.884622300161,4223.094015055,5432.320230462541,0.8286447201711097,0.842161311176711,0.3659096107974703,0.9666666666666667,0.7586206896551724,0.03333333333333333,2.145393803064831
11,20,40,50,30,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,1.0,2.1371969334537075
12,20,40,50,29,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.9666666666666667,2.1361969334537076
13,20,40,50,28,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.9333333333333333,2.1351969334537078
14,20,40,50,27,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.9,2.134196933453708
15,20,40,50,26,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.8666666666666667,2.1331969334537075
16,20,40,50,25,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.8333333333333334,2.1321969334537076
17,20,40,50,24,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.8,2.1311969334537078
18,20,40,50,23,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.7666666666666667,2.130196933453708
19,20,40,50,22,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.7333333333333333,2.1291969334537075
20,20,40,50,21,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.7,2.1281969334537076
21,20,40,50,20,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.6666666666666666,2.1271969334537078
22,20,40,50,19,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.6333333333333333,2.126196933453708
23,20,40,50,18,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.6,2.1251969334537075
24,20,40,50,17,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.5666666666666667,2.1241969334537076
25,22,39,49,1,2506.028719488826,4333.538537024931,5432.320230462541,0.775016296083318,0.8797228141884053,0.3659096107974703,0.9,0.7407407407407407,0.03333333333333333,2.1232783506988233
26,20,40,50,16,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.5333333333333333,2.1231969334537077
27,21,39,48,1,2400.9566708944935,4333.538537024931,5323.227730622294,0.8039626138386076,0.8797228141884053,0.33917091854449977,0.9,0.6666666666666667,0.03333333333333333,2.1225230132381796
28,20,40,50,15,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.5,2.122196933453708
29,20,39,47,1,2295.884622300161,4333.538537024931,5214.135230782047,0.8286447201711097,0.8797228141884053,0.31692522730577444,0.9,0.5925925925925926,0.03333333333333333,2.121996465368993
30,20,40,50,14,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.4666666666666667,2.1211969334537075
31,20,40,50,13,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.43333333333333335,2.1201969334537076
