opening,selected_min_distance,estimated_mass_ref,estimated_mass_min,estimated_mass_max,min_distance_to_train,distance_score,is_training_opening,low_fit_prob,low_coverage,low_distance_metric,low_order_metric,mid_fit_prob,mid_coverage,mid_distance_metric,mid_order_metric,high_fit_prob,high_coverage,high_distance_metric,high_order_metric,low_score,mid_score,high_score,best_role,best_role_order_score
20,1,2295.884622300161,1141.0211746260345,3450.7480699742873,0.0,0.0,True,0.959171045682088,1.0,0.0,1.0,0.04069879948324436,0.0436655295042359,0.0,0.0,0.0001301548346675278,0.0,0.0,0.0,0.830105211287874,1e-12,1e-12,low,1.0
21,1,2400.8141556944747,1193.9641590544486,3607.664152334501,1.0,0.2,False,0.94640549517589,0.9776605742670597,0.2,1.0,0.05340599274945508,0.12724194931432856,0.2,0.0,0.00018851207465496835,0.0,0.2,0.0,0.9069282391277093,0.11720463931856766,0.05066890411720102,low,1.0
22,1,2505.8494771586625,1247.074667365592,3764.6242869517328,2.0,0.4,False,0.9295780236519307,0.9537852652369839,0.4,0.9596050102855576,0.07014651737609426,0.21084183217467542,0.4,0.0,0.00027545897197503417,0.0,0.4,0.0,0.9674919438604787,0.23517887720205324,0.10134996080196317,low,0.9596050102855576
23,1,2610.9560562228603,1300.3182799161893,3921.593832529531,2.0,0.4,False,0.9075221561724027,0.9298501204992257,0.4,0.9036232941698906,0.09207242257889126,0.29444672748740636,0.4,0.0,0.0004054212487058887,0.0,0.4,0.0,0.9355447788733504,0.24601269694552508,0.10140520369836992,low,0.9036232941698906
24,1,2716.0993624172015,1353.6605770629644,4078.5381477714386,1.0,0.2,False,0.878880054132801,0.9058706130674323,0.2,0.8476220165025898,0.12052018757872822,0.37803818465464817,0.2,0.0,0.0005997582884707713,0.0,0.2,0.0,0.8161727178279286,0.14995902247541223,0.050843712011914524,low,0.8476220165025898
25,1,2821.244865271823,1407.0671391626427,4235.422591381003,0.0,0.0,True,0.8421953726144519,0.8818622159552507,0.0,0.7916195688532259,0.15691518303917254,0.4615977530785301,0.0,0.0,0.0008894443463754542,0.0,0.0,0.0,0.6937872810423238,0.055415532945675534,0.0003227502089305559,low,0.7916195688532259
26,1,2926.3686265388747,1460.735525768272,4392.001727309477,1.0,0.2,False,0.7961095921855276,0.8577361181998253,0.2,0.7356287011772003,0.2025722870424184,0.5449947089610953,0.2,0.0,0.0013181207720540287,0.0,0.2,0.0,0.7377663186313111,0.17887776660091106,0.05114906542108316,low,0.7356287011772003
27,1,3031.551217314709,1514.7460493808294,4548.356385248589,2.0,0.4,False,0.7396382631779655,0.8334562161026456,0.4,0.679606499812178,0.25841616198938816,0.6282721036973782,0.4,0.0,0.0019455748326462933,0.0,0.4,0.0,0.7778259454225418,0.3042694889354288,0.10205987478469064,low,0.679606499812178
28,1,3136.914871145759,1568.8884197789293,4704.941322512589,2.0,0.4,False,0.6726127709901684,0.8091170435738781,0.4,0.6234878609011298,0.32453711180785183,0.7116721494789908,0.4,0.0,0.0028501172019798162,0.0,0.4,0.0,0.7289464774619836,0.32349934949379067,0.10244436743641673,low,0.6234878609011298
29,1,3242.5818215784634,1622.9523467411889,4862.211296415739,1.0,0.2,False,0.5961605761929337,0.7848131345236882,0.2,0.5672076805870239,0.3997105449716209,0.7954370584975494,0.2,0.0,0.004128878835445413,0.0,0.2,0.0,0.5915404700514799,0.236353547509816,0.05234383070548895,low,0.5672076805870239
30,1,3348.674302159256,1676.7275400462227,5020.62106427229,0.0,0.0,True,0.5129903345517179,0.760639022862242,0.0,0.5107008550128301,0.48111366448626425,0.8798090429446661,0.0,0.0,0.005896000962017821,0.0,0.0,0.0,0.4515593774483031,0.15044190491449583,0.00245088073595441,low,0.5107008550128301
31,1,3455.8760122039716,1730.6316054389254,5181.120418969018,1.0,0.2,False,0.426796724571322,0.7364069780155132,0.2,0.45360323322483753,0.5649085881281383,0.9652939801519936,0.2,0.09279353355032516,0.008294687300539805,0.0,0.2,0.0,0.4801211764668607,0.33340607174443515,0.05411458550662372,low,0.45360323322483753
32,1,3564.3876899684606,1785.074909584253,5343.700470352668,2.0,0.4,False,0.342491758317999,0.7119325236669871,0.4,0.39580789829974206,0.6460230792951231,1.0,0.4,0.2083842034005161,0.011485162386877757,0.03260621671251802,0.4,0.0,0.5091025394831457,0.5246086426093599,0.11325313319372544,mid,0.2083842034005161
33,1,3673.607127409187,1839.8363036409162,5507.377951177457,2.0,0.4,False,0.2653720305364731,0.6873150751130959,0.4,0.3376355974261207,0.7190007851615174,1.0,0.4,0.3247288051477587,0.015627184302009444,0.08738923515613187,0.4,0.0,0.45566757287745124,0.6037928595846438,0.1270070860594426,mid,0.3247288051477587
34,1,3782.9321164826133,1894.6946387676244,5671.169594197602,1.0,0.2,False,0.1992007147502161,0.6626540476502725,0.2,0.2794070777925515,0.7798964454381074,1.0,0.2,0.4411858444148973,0.02090283981167641,0.14221046380204244,0.2,0.0,0.32135414441112736,0.5726125702110529,0.0906071779313234,mid,0.4411858444148973
35,1,3891.760449145204,1949.4287661230883,5834.092132167319,0.0,0.0,True,0.14558699051560958,0.6380488565749493,0.0,0.22144308658761136,0.8268795198088663,1.0,0.0,0.5571138268247775,0.027533489675524162,0.19674080210819986,0.0,0.0,0.1918417350172164,0.5384871631960225,0.054719552664530095,mid,0.5571138268247775
36,1,4000.918111192793,2004.8363772009684,5996.999845184617,1.0,0.2,False,0.10372080389695754,0.6131409074859914,0.2,0.16330368843570686,0.8603628645226091,1.0,0.2,0.6733926231285865,0.03591633158043339,0.2512661784877828,0.2,0.0,0.23651032392743343,0.7182446822918145,0.12086383967174909,mid,0.6733926231285865
37,1,4111.267217550765,2061.5249028035073,6161.009532298022,2.0,0.4,False,0.07203643175403418,0.5876571358133336,0.4,0.10452970491583247,0.881326497321812,1.0,0.4,0.7909405901683353,0.046637070924153756,0.3061603867123283,0.4,0.0,0.28467353687131275,0.8963313865844056,0.18808263979627324,mid,0.7909405901683353
38,1,4222.259753869907,2118.987803052287,6325.531704687529,2.0,0.4,False,0.04896374270921688,0.5618252516000135,0.4,0.04541301864844943,0.8906861802259077,1.0,0.4,0.9091739627031014,0.06035007706487534,0.3612261242773258,0.4,0.0,0.250935592062574,0.9644661408000322,0.20596681246985613,mid,0.9091739627031014
39,1,4333.347705801011,2176.718538068891,6489.976873533132,1.0,0.2,False,0.032684157650274256,0.5358729648890681,0.2,0.0,0.8894551836304795,1.0,0.2,0.9724910245080326,0.0778606587192463,0.4162660886782653,0.2,0.01375448774598359,0.13969566543325063,0.8916378493676318,0.18269510955727042,mid,0.9724910245080326
