rank,low_opening,mid_opening,high_opening,selected_min_distance,low_estimated_mass,mid_estimated_mass,high_estimated_mass,low_role_score,mid_role_score,high_role_score,spacing_score,balance_score,distance_bonus,total_score
1,22,37,50,1,2505.8494771586625,4111.267217550765,5541.412730302787,0.9674919438604787,0.8963313865844056,0.8987118034412203,0.9333333333333333,0.9285714285714286,0.03333333333333333,0.9530208827907642
2,22,38,50,1,2505.8494771586625,4222.259753869907,5541.412730302787,0.9674919438604787,0.9644661408000322,0.8987118034412203,0.9333333333333333,0.8571428571428572,0.03333333333333333,0.9523183753791434
3,22,37,50,2,2505.8494771586625,4111.267217550765,5541.412730302787,0.9697486092386784,0.933459971919081,0.857573640139716,0.9333333333333333,0.9285714285714286,0.06666666666666667,0.9519748067868501
4,23,37,50,1,2610.9560562228603,4111.267217550765,5541.412730302787,0.9355447788733504,0.8963313865844056,0.8987118034412203,0.9,0.962962962962963,0.03333333333333333,0.9518141447740343
5,22,38,50,2,2505.8494771586625,4222.259753869907,5541.412730302787,0.9697486092386784,1.000000000001,0.857573640139716,0.9333333333333333,0.8571428571428572,0.06666666666666667,0.9516882190061354
6,23,38,50,1,2610.9560562228603,4222.259753869907,5541.412730302787,0.9355447788733504,0.9644661408000322,0.8987118034412203,0.9,0.8888888888888888,0.03333333333333333,0.9504497464174773
7,23,37,50,2,2610.9560562228603,4111.267217550765,5541.412730302787,0.9402146279878874,0.933459971919081,0.857573640139716,0.9,0.962962962962963,0.06666666666666667,0.9496260693564123
8,23,38,50,2,2610.9560562228603,4222.259753869907,5541.412730302787,0.9402146279878874,1.000000000001,0.857573640139716,0.9,0.8888888888888888,0.06666666666666667,0.9487088926830293
9,21,37,50,1,2400.8141556944747,4111.267217550765,5541.412730302787,0.9069282391277093,0.8963313865844056,0.8987118034412203,0.9666666666666667,0.896551724137931,0.03333333333333333,0.943696848788801
10,21,38,50,1,2400.8141556944747,4222.259753869907,5541.412730302787,0.9069282391277093,0.9644661408000322,0.8987118034412203,0.9666666666666667,0.8275862068965517,0.03333333333333333,0.9436105846707415
